layer,head,pooled_blk_r,pooled_imp_r,blk_r_p,blk_lo_p,blk_hi_p,blk_r_m,blk_lo_m,blk_hi_m,imp_r_p,imp_r_m,sd_blk_p,sd_blk_m,mu_blk_p,mu_blk_m,pass_blk_010,pass_imp_010,surv_blk_att01,surv_imp_att01
10,11,0.237884,0.291427,0.023975,-0.106107,0.188653,0.051530,-0.100796,0.202896,0.052221,0.288566,0.056451,0.051345,-0.156441,-0.152112,False,False,True,True
0,28,-0.194698,0.291402,-0.197199,-0.255237,-0.143096,-0.113907,-0.190189,-0.036466,0.100638,0.242585,0.095772,0.095853,0.019568,0.020395,True,False,True,True
1,11,0.233999,0.291369,-0.191649,-0.312057,-0.070394,0.041408,-0.075227,0.156569,0.017471,0.322434,0.012986,0.015009,-0.184160,-0.181739,False,False,True,True
11,5,-0.290508,-0.240251,-0.167053,-0.269071,-0.054593,-0.176109,-0.328103,-0.008521,-0.170718,-0.072650,0.154095,0.166527,0.283035,0.281508,True,False,True,True
31,9,0.160310,0.290049,0.118724,-0.042851,0.277368,0.049043,-0.096756,0.178800,0.181542,0.169934,0.005203,0.005181,-0.003191,-0.000796,False,True,True,True
31,8,0.199368,0.289983,0.300460,0.183301,0.414701,0.022535,-0.140052,0.191007,0.170600,0.175296,0.005680,0.004816,-0.002195,0.000343,False,True,True,True
25,9,0.080705,0.289894,0.082977,-0.059279,0.250623,0.317185,0.176478,0.436851,0.072846,0.273375,0.001513,0.001784,0.000690,0.000950,False,False,False,True
0,11,-0.275352,0.289571,-0.336804,-0.430328,-0.246244,-0.046951,-0.135897,0.049055,0.073777,0.239150,0.090653,0.095325,0.091472,0.022717,False,False,True,True
22,25,-0.289436,0.034604,-0.110660,-0.293420,0.057727,-0.220327,-0.347836,-0.119561,-0.197859,0.023403,0.040021,0.045770,0.048163,0.047950,False,False,True,False
0,6,0.173550,0.289074,-0.071902,-0.151751,-0.005114,-0.216142,-0.297403,-0.127608,0.111524,0.219535,0.042634,0.042616,-0.113027,-0.113381,False,False,True,True
3,17,0.035716,0.288811,-0.200285,-0.309303,-0.092022,0.027486,-0.081353,0.127880,0.003667,0.331137,0.000496,0.000509,-0.000251,-0.000241,False,False,False,True
0,25,0.156749,0.288608,0.001724,-0.104216,0.093444,-0.225674,-0.302942,-0.138464,0.144428,0.186469,0.056664,0.056432,-0.103993,-0.105784,False,False,True,True
2,30,0.275902,0.288240,0.215093,0.115821,0.319337,0.079447,-0.041728,0.193912,0.003507,0.334683,0.005497,0.005195,-0.012297,-0.012096,False,False,True,True
0,10,0.192354,0.288120,-0.018191,-0.126822,0.087187,-0.181430,-0.270484,-0.085898,0.160598,0.170600,0.046713,0.044735,-0.124528,-0.132584,False,True,True,True
24,29,0.286759,0.287795,-0.025396,-0.146074,0.119410,0.330575,0.217080,0.435555,-0.015432,0.345105,0.011770,0.012124,-0.015688,-0.016958,False,False,True,True
24,8,-0.098236,0.287280,-0.115200,-0.244718,0.008062,0.033266,-0.067924,0.138597,0.199868,0.206448,0.004998,0.004788,0.000230,0.002379,False,True,False,True
20,31,-0.287187,-0.183499,-0.062649,-0.191189,0.083264,-0.262638,-0.345715,-0.184596,0.007742,-0.231083,0.068861,0.073154,0.073482,0.075191,False,False,True,True
28,7,0.233114,0.287049,0.277698,0.116077,0.414410,-0.086983,-0.200751,0.025688,0.232295,0.107503,0.005841,0.006168,-0.008400,-0.005519,False,False,True,True
12,13,0.207597,0.286938,-0.208365,-0.306720,-0.096329,-0.034992,-0.172495,0.097027,0.058783,0.266253,0.049087,0.045320,-0.203821,-0.214902,False,False,True,True
1,3,0.248632,0.286849,-0.057349,-0.186490,0.110280,0.206249,0.084321,0.308685,-0.033128,0.345470,0.041692,0.046116,-0.315238,-0.316925,False,False,True,True
28,11,-0.055163,0.286565,-0.238048,-0.343531,-0.118366,0.151137,0.022780,0.271519,0.076308,0.260745,0.027879,0.027312,0.003783,0.000836,False,False,False,True
10,26,-0.286554,0.139574,-0.208874,-0.371399,-0.029797,-0.141269,-0.250697,-0.027306,0.006567,0.038637,0.115133,0.120692,0.266437,0.268661,True,False,True,True
7,31,0.266848,0.286551,0.183442,0.074352,0.290487,0.078633,-0.034048,0.195310,0.205995,0.152191,0.062600,0.063194,-0.179843,-0.182967,False,True,True,True
3,19,0.265299,0.286137,0.082159,-0.009110,0.189189,0.158898,0.076766,0.247214,-0.031645,0.333151,0.002665,0.002694,-0.007685,-0.007307,False,False,True,True
1,6,0.225286,0.286062,-0.280427,-0.376691,-0.177709,0.057892,-0.141478,0.214786,-0.005208,0.321703,0.038819,0.039741,-0.316864,-0.315287,False,False,True,True
12,27,0.208383,0.285942,-0.072321,-0.191092,0.041862,-0.067175,-0.206145,0.074570,0.266888,0.081865,0.090303,0.095934,-0.299381,-0.299317,False,False,True,True
22,21,-0.285767,-0.032202,-0.110662,-0.345512,0.109907,-0.200655,-0.336679,-0.060938,0.104521,-0.150126,0.012249,0.014540,0.019427,0.025748,False,False,True,False
27,18,-0.285723,0.204574,-0.059183,-0.274481,0.147680,-0.291695,-0.378448,-0.204064,0.307008,-0.133568,0.020032,0.025653,0.009165,0.018884,False,False,True,True
17,1,-0.285202,-0.057093,-0.323397,-0.474219,-0.147325,-0.192510,-0.322134,-0.075245,-0.212079,-0.257258,0.036940,0.038836,0.012456,0.001526,True,True,True,False
9,24,0.221704,0.284948,-0.123388,-0.238028,-0.010315,-0.083258,-0.224600,0.053217,0.104902,0.239014,0.075422,0.080996,-0.522099,-0.507673,False,False,True,True
0,5,0.141469,0.284804,-0.169468,-0.247173,-0.098900,-0.184769,-0.276243,-0.081827,0.056005,0.263247,0.032867,0.032830,-0.068202,-0.069019,True,False,True,True
1,30,0.232066,0.284634,-0.047242,-0.128425,0.037589,0.000722,-0.101157,0.095898,0.040137,0.269432,0.018300,0.020452,-0.108658,-0.110552,False,False,True,True
5,26,0.229155,0.284537,-0.158509,-0.310509,-0.000543,-0.137847,-0.275323,-0.018010,0.074005,0.239892,0.008097,0.007801,-0.119886,-0.117765,True,False,True,True
17,16,-0.284435,0.043235,-0.211288,-0.345304,-0.082879,-0.111075,-0.232656,0.011573,0.037297,0.102378,0.017811,0.016766,0.028187,0.034910,False,False,True,False
29,2,-0.284347,-0.118252,-0.116448,-0.267881,0.034678,-0.470932,-0.555865,-0.378465,0.078047,-0.489288,0.022633,0.027936,0.004015,-0.009256,False,False,True,False
10,9,0.280024,0.284270,0.128149,-0.007498,0.302312,0.231783,0.105933,0.357221,0.039981,0.279548,0.037209,0.034673,-0.120295,-0.113736,False,False,True,True
30,8,-0.284083,0.122728,-0.360523,-0.466448,-0.248689,0.001210,-0.140897,0.138408,-0.075915,0.023231,0.029345,0.028965,0.030628,0.021434,False,False,True,False
4,26,0.259845,0.283948,0.232902,0.123927,0.337048,0.078440,-0.070773,0.229063,0.107362,0.223751,0.014079,0.013799,-0.087887,-0.084506,False,False,True,True
10,2,-0.283734,-0.194847,-0.187939,-0.301294,-0.056143,-0.165399,-0.291094,-0.047443,-0.100797,0.016945,0.054792,0.049885,0.144293,0.138072,True,False,True,True
